no match: /b{4,6}/ bbbdbtbbbj, bbbbbbb
MATCH: /h{3,9}/ hhhhhhhhsh, hhhhhhhhh
no match: /p{15,16}/ ppppsppppppppppz, pppppppppppppp
no match: /c{2,5}/ csccctcccc, cccccccc
MATCH: /p{11,14}/ pppppppppppppnp, pppppppppppppp
MATCH: /j{8,9}/ jvbjjjjrjbjj, jjjjjjjj
no match: /b{8,16}/ qklbmbntmvbhxplbbcb, bbbbbb
no match: /j{12,13}/ jjjjsjmfjjjkhj, jjjjjjjjj
MATCH: /t{2,13}/ llckxhfmtznptndcsx, tt
MATCH: /x{6,8}/ dxxxxvxxtt, xxxxxx
no match: /d{3,4}/ ddht, dd
MATCH: /t{3,4}/ ttdtt, tttt
MATCH: /r{11,12}/ rrrrrrrrrrrd, rrrrrrrrrrr
MATCH: /h{9,10}/ hhhhhhhhgh, hhhhhhhhh
no match: /h{3,16}/ hhhhhhhhhhhhhhnhhh, hhhhhhhhhhhhhhhhh
no match: /h{10,11}/ hxhhhdhhhsh, hhhhhhhh
MATCH: /n{1,7}/ jnfnjnn, nnnn
MATCH: /m{3,4}/ msmnpmpf, mmm
no match: /t{15,17}/ tpdtttgltvtttztlv, ttttttttt
MATCH: /v{7,10}/ vvpsvpgjzvvvvjs, vvvvvvv
MATCH: /p{1,5}/ pxppg, ppp
no match: /w{2,7}/ jwhgkgvxcv, w
no match: /m{13,14}/ pxxmjznmrzdsbbmmfj, mmmm
no match: /d{1,4}/ ddddd, ddddd
MATCH: /r{14,16}/ rrrrrrrrrrrrrwrr, rrrrrrrrrrrrrrr
MATCH: /l{2,5}/ klbtzzlrlslgswhljtq, lllll
no match: /c{6,12}/ qccrcpccccccdccccc, cccccccccccccc
MATCH: /l{2,18}/ llllllllvllllllllkll, llllllllllllllllll
no match: /z{18,20}/ zzzzzzzzszqzwzrzzzzn, zzzzzzzzzzzzzzz
MATCH: /c{5,16}/ cbccclcfcncvqztqc, cccccccc
no match: /m{7,11}/ fnwmtsmgpxncnr, mm
MATCH: /h{6,7}/ hpjrhbhkshnchbhpph, hhhhhhh
MATCH: /s{11,12}/ ssssssssssps, sssssssssss
no match: /s{6,9}/ jfsmmssssqz, sssss
no match: /l{1,15}/ llllllllllllllbll, llllllllllllllll
no match: /g{2,6}/ gggggwgggpggggggg, ggggggggggggggg
MATCH: /j{6,9}/ jjjpjjjjn, jjjjjjj
no match: /n{9,13}/ nnnnnnnnnnnnnn, nnnnnnnnnnnnnn
no match: /t{10,13}/ cgntllxnvpkjwxtght, ttt
no match: /f{2,11}/ xcftbcdcndkgm, f
MATCH: /j{10,13}/ jjjjjjjjjjjjvj, jjjjjjjjjjjjj
no match: /f{9,17}/ rfrffnsffxqflbffvv, ffffffff
MATCH: /k{6,11}/ kkkkkrwkqckmk, kkkkkkkk
MATCH: /q{5,7}/ zfqqqqqn, qqqqq
MATCH: /c{12,13}/ cfcccvccccckccccv, ccccccccccccc
MATCH: /z{5,15}/ xhzzzzzzzzfzzknzz, zzzzzzzzzzzz
no match: /f{18,19}/ jkfksvmfjbdffffffff, ffffffffff
no match: /h{8,11}/ hhhhmhhkhsfdg, hhhhhhh
no match: /s{14,16}/ ssssssdjssssssssssss, ssssssssssssssssss
no match: /t{15,16}/ jtmjhsxqqmmthmtttm, ttttt
no match: /h{5,7}/ hkbjhjhh, hhhh
MATCH: /n{2,6}/ knprnfnfhhrcnk, nnnn
no match: /w{3,4}/ snwd, w
no match: /w{5,11}/ wwwwnwwwwwwwwwwww, wwwwwwwwwwwwwwww
MATCH: /k{2,12}/ bkqjghpktfsk, kkk
no match: /v{14,15}/ vvvsvvvvvvvvvxv, vvvvvvvvvvvvv
no match: /w{8,9}/ fxwwwwwscwl, wwwwww
no match: /c{9,15}/ sbjvvsmdvqknbccxxx, cc
no match: /t{6,15}/ tpwjtdnnldthxvn, ttt
no match: /t{13,15}/ tttttrzmzttjttt, tttttttttt
MATCH: /m{3,11}/ mmvmlmmmwfmjx, mmmmmmm
MATCH: /s{13,14}/ gskssssssscssssqjssl, ssssssssssssss
no match: /l{5,10}/ bfnmqlldllp, llll
MATCH: /q{17,18}/ qkwqqqqqqqqqqqrqqqqq, qqqqqqqqqqqqqqqqq
MATCH: /r{2,5}/ rsvrrq, rrr
MATCH: /j{3,4}/ jjjdj, jjjj
no match: /m{3,4}/ mtmk, mm
no match: /k{8,9}/ vsvkvkrkc, kkk
no match: /t{10,12}/ ttttttcttttgttt, ttttttttttttt
no match: /n{3,4}/ trzw, 
MATCH: /q{5,11}/ qqmpsqbxkqq, qqqqq
no match: /s{13,15}/ sqsssnmwqszfsmv, ssssss
MATCH: /b{5,6}/ bbbbzvb, bbbbb
MATCH: /p{5,13}/ pjjhpnqpzpmpfpfp, ppppppp
no match: /l{4,5}/ mgnwlrw, l
MATCH: /k{1,7}/ fkzxwkj, kk
MATCH: /q{1,10}/ qgxqqqqqqg, qqqqqqq
MATCH: /s{8,9}/ ssqssssfss, ssssssss
MATCH: /c{7,8}/ xxcscclccdvcmqcc, cccccccc
MATCH: /d{2,6}/ xdlmzdzxrpmlnt, dd
MATCH: /s{3,9}/ sssssnssgbs, ssssssss
no match: /h{7,10}/ sblrrhqrhh, hhh
no match: /n{3,5}/ xnndnnnfnw, nnnnnn
no match: /l{9,10}/ vllllqlllhllljxlp, lllllllllll
MATCH: /d{2,5}/ ddxzbxk, dd
no match: /m{10,14}/ mmmmmmmmmmdmmmmsmmm, mmmmmmmmmmmmmmmmm
no match: /f{1,2}/ ffffw, ffff
no match: /g{14,15}/ wdjhplhrbcxdgpnt, g
no match: /l{1,2}/ klllllll, lllllll
no match: /k{10,11}/ ckkhkkvkkkmkkjkwkkwk, kkkkkkkkkkkkk
MATCH: /f{7,9}/ ffrhdvftfpjfqffhnfsf, fffffffff
no match: /c{4,5}/ kkjksrmkccg, cc
MATCH: /r{5,9}/ rrrrhrrrrr, rrrrrrrrr
MATCH: /p{5,6}/ pppppth, ppppp
no match: /t{4,10}/ kpfwzjtchtbndblrvst, ttt
no match: /l{1,5}/ mllllllnllll, llllllllll
MATCH: /r{13,16}/ rrrvrrrrrrrrzrrg, rrrrrrrrrrrrr
MATCH: /x{17,18}/ xxfxxxxxxxxsxxxxxsxx, xxxxxxxxxxxxxxxxx
no match: /w{8,11}/ rwbnqrngcvpgwwww, wwwww
no match: /z{4,8}/ zzzzzzzzzz, zzzzzzzzzz
MATCH: /b{4,9}/ bbvvbbbbr, bbbbbb
MATCH: /x{2,5}/ qlfhxkx, xx
MATCH: /t{3,8}/ wvptttttttt, tttttttt
no match: /m{1,3}/ hmmmmqmm, mmmmmm
no match: /h{17,19}/ nhhhdvhnhrhhhhnhmdh, hhhhhhhhhhh
no match: /s{11,12}/ psszbdpsgfks, ssss
MATCH: /s{6,7}/ sssssshs, sssssss
no match: /l{10,15}/ mnkdvnvmxljjtggwcl, ll
MATCH: /j{1,13}/ qjjjjjjjjjjjdj, jjjjjjjjjjjj
no match: /l{4,9}/ jxvkwhlmlhdtgwvgsdzz, ll
MATCH: /c{5,9}/ ccfghhccccgc, ccccccc
MATCH: /v{10,11}/ vvvvvvvvvvv, vvvvvvvvvvv
no match: /t{7,8}/ cntwzshkzvmrnnkr, t
MATCH: /l{1,11}/ tllllllltllll, lllllllllll
no match: /l{15,17}/ lllglvctrvllzkllt, llllllll
MATCH: /n{3,5}/ ncnnp, nnn
MATCH: /q{2,3}/ jsqqh, qq
MATCH: /h{4,10}/ hhhhhhhhhvh, hhhhhhhhhh
no match: /b{16,18}/ bbnbbbbbtbbkktbbzdr, bbbbbbbbbbb
no match: /g{4,6}/ kbggdhgggggggggggfc, ggggggggggggg
no match: /p{12,13}/ cpvcppqpplwpt, pppppp
MATCH: /h{5,10}/ fvhhbrhpghchhhhhh, hhhhhhhhhh
MATCH: /b{2,5}/ bbvzn, bb
no match: /x{14,15}/ xxxbxnwxxxxzxxh, xxxxxxxxxx
no match: /n{13,15}/ nnfgdglfnntnjqn, nnnnnn
MATCH: /c{2,4}/ cfccc, cccc
MATCH: /v{3,5}/ vrvvzdvv, vvvvv
MATCH: /v{17,19}/ vvvvvvvvvvvvvvvvvvsv, vvvvvvvvvvvvvvvvvvv
MATCH: /h{1,20}/ hhhhhhhhhhqhhhhhhhhh, hhhhhhhhhhhhhhhhhhh
no match: /q{4,15}/ qqqtqqqqqqqqqqqqlq, qqqqqqqqqqqqqqqq
no match: /h{11,13}/ hhkhvhhhhwhgk, hhhhhhhh
MATCH: /p{8,11}/ ppvppppppptspf, pppppppppp
MATCH: /m{8,9}/ mmmpmmkmdmpkspmg, mmmmmmmm
MATCH: /m{1,7}/ lcmvggm, mm
MATCH: /v{6,12}/ tvfstvvpvzsvcv, vvvvvv
MATCH: /n{8,9}/ nnnqnnwrrdzlmnwlznrn, nnnnnnnn
MATCH: /s{1,5}/ msssms, ssss
no match: /v{1,3}/ vpdzvdvgv, vvvv
no match: /g{6,9}/ drgrfggcg, gggg
no match: /x{6,16}/ djpxhxvncxfghsxx, xxxxx
MATCH: /b{1,3}/ sjbwwxbvtvbkt, bbb
MATCH: /c{6,8}/ cccccstccjhv, ccccccc
no match: /q{1,11}/ qqqpqqqqqqwqqq, qqqqqqqqqqqq
MATCH: /m{9,11}/ vsbmmmmmmmqmmsm, mmmmmmmmmm
no match: /g{2,7}/ gqggggggg, gggggggg
MATCH: /m{2,3}/ mrgvm, mm
MATCH: /c{6,7}/ cccpcfcc, cccccc
no match: /w{6,10}/ swbngwswnxnww, wwwww
MATCH: /r{13,14}/ rrrrrrrrrrwrrgrdr, rrrrrrrrrrrrrr
no match: /v{3,9}/ vctxhxtfvq, vv
MATCH: /r{2,9}/ jrrcslgplcprlvgthg, rrr
MATCH: /n{2,3}/ hnnnsxclvdj, nnn
no match: /h{10,11}/ zrhghhqhgzh, hhhhh
MATCH: /z{15,18}/ zzzlzzzzzzzzpzqzpzzz, zzzzzzzzzzzzzzzz
MATCH: /f{3,8}/ fffffrfl, ffffff
no match: /l{1,4}/ rllllfl, lllll
no match: /n{1,2}/ nnnnnvtnv, nnnnnn
MATCH: /z{17,19}/ zzzzzzzzzzzzzzzzzzqz, zzzzzzzzzzzzzzzzzzz
MATCH: /n{13,15}/ nnnznnnnnnznnnn, nnnnnnnnnnnnn
no match: /c{2,5}/ gcccncjmsncfcntjc, ccccccc
MATCH: /h{8,9}/ hhhhhhhhbpsfh, hhhhhhhhh
no match: /r{7,11}/ lzvvlbrgjgrr, rrr
MATCH: /x{5,11}/ xxxxqxxxxxxx, xxxxxxxxxxx
MATCH: /p{4,7}/ gqpkmppzpsmtzhfdfpl, ppppp
MATCH: /j{3,4}/ jjdjdg, jjj
no match: /z{14,16}/ zzzzzzzgjzzzzpzf, zzzzzzzzzzzz
no match: /n{1,2}/ nnnvnwnnnnh, nnnnnnnn
no match: /z{4,5}/ jhzzz, zzz
MATCH: /k{5,7}/ kkkkkkf, kkkkkk
MATCH: /z{8,18}/ khzzrzjzmzzvzzpcclm, zzzzzzzz
no match: /m{5,10}/ kjrhwkhmsm, mm
MATCH: /v{10,16}/ vvvvvvvvvvvvvvvwv, vvvvvvvvvvvvvvvv
no match: /l{9,10}/ xhvjsmllkcdtldfxlw, llll
MATCH: /p{8,10}/ ppjvppbpqhpwhppgbp, ppppppppp
no match: /m{4,6}/ jlmkhm, mm
no match: /k{1,3}/ gvpklkkkk, kkkkk
no match: /g{15,16}/ ggjggggvgmgtpgcg, gggggggggg
MATCH: /j{1,4}/ jbjwj, jjj
no match: /x{1,3}/ xxxpxxdxxhfx, xxxxxxxx
no match: /v{14,16}/ vxmhhdvvfjjqwhtv, vvvv
no match: /l{6,7}/ lnkchzlwxlp, lll
MATCH: /v{3,4}/ vvvcv, vvvv
no match: /p{13,14}/ pbqpppppzbmppc, pppppppp
no match: /p{6,12}/ glqwzprpqbqf, pp
MATCH: /l{6,12}/ lllllglllllll, llllllllllll
no match: /n{8,9}/ nnsnnnndcn, nnnnnnn
MATCH: /p{6,8}/ prwppppp, pppppp
MATCH: /q{1,10}/ dqqqqqqqqjq, qqqqqqqqq
no match: /w{12,16}/ kwtbdnjqmwwxhwcwswkl, wwwwww
no match: /r{11,14}/ rrnjghfrrrshlrq, rrrrrr
no match: /w{2,14}/ vwbbvcvgnxdmxl, w
no match: /g{7,8}/ sqmggkgslkwlvggg, gggggg
MATCH: /q{1,6}/ tqqqqqq, qqqqqq
MATCH: /b{2,3}/ bbbr, bbb
no match: /b{7,9}/ jnwbswfpbn, bb
no match: /n{4,5}/ nnlct, nn
MATCH: /s{3,11}/ ssssssssssp, ssssssssss
no match: /f{2,6}/ wjlpwf, f
MATCH: /g{5,10}/ gggghqgqgb, gggggg
MATCH: /p{1,3}/ ppdg, pp
MATCH: /j{4,7}/ pjnkjjljjj, jjjjjj
MATCH: /v{1,2}/ ghmjzxmtxjxnv, v
no match: /k{6,14}/ klgdzfmgdwhqdkhcnzm, kk
MATCH: /z{6,11}/ tgzpzzzzztc, zzzzzz
MATCH: /b{2,12}/ cxsmjbdgdnrb, bb
no match: /v{4,6}/ lxdvvh, vv
no match: /l{3,8}/ pnpdnrll, ll
no match: /m{7,8}/ mzmswvmmbxmzlmwhdvq, mmmmmm
MATCH: /s{13,14}/ khzssssssssszsssss, ssssssssssssss
no match: /d{10,18}/ dmfdlgcxdbzznbrlqn, ddd
MATCH: /j{13,14}/ jjjjjjjjjjjjdpjj, jjjjjjjjjjjjjj
no match: /j{15,17}/ jjjjjjjjjwjsqjwjj, jjjjjjjjjjjjj
MATCH: /x{10,15}/ xxfxkzxxhxxxxxvxxw, xxxxxxxxxxxx
MATCH: /c{7,14}/ wcccwcmmcccccxhcccc, ccccccccccccc
MATCH: /z{2,7}/ zmzvfzlszr, zzzz
no match: /k{7,8}/ jjkrklrkkv, kkkk
no match: /r{8,9}/ rrrrrjrtz, rrrrrr
no match: /w{2,3}/ tvws, w
MATCH: /b{1,5}/ bbbjm, bbb
MATCH: /q{1,2}/ tqqjf, qq
no match: /j{5,10}/ wlgjghjhjljwtpcdkqwk, jjjj
no match: /c{2,5}/ dzpkc, c
no match: /m{5,6}/ mbvmkm, mmm
no match: /k{4,15}/ stjkjvvxrmwdpkwsjqvc, kk
no match: /h{6,9}/ hwkgjplmhxwgvnbhwh, hhhh
MATCH: /z{12,13}/ zzzzzzzzzzzzz, zzzzzzzzzzzzz
no match: /q{7,8}/ qqqqqqqqq, qqqqqqqqq
no match: /c{2,5}/ clcwmccczclcccc, cccccccccc
MATCH: /l{2,5}/ jlcgfbflklvpfqxtwgg, lll
no match: /n{5,7}/ nnnnnnvnnnnnn, nnnnnnnnnnnn
no match: /f{3,5}/ gfktfffqvgltsbff, ffffff
MATCH: /p{10,16}/ jppbttppzpqppppp, pppppppppp
MATCH: /m{2,3}/ zmdm, mm
no match: /j{4,6}/ zsmtjjdnrpp, jj
no match: /j{17,18}/ hvvmrkfnnkvrjtjhjj, jjjj
no match: /d{12,15}/ dtddddddddtwxgld, dddddddddd
no match: /r{8,12}/ rdzrwfgrmxwttknxz, rrr
no match: /s{6,7}/ rssbktxsgd, sss
MATCH: /d{11,13}/ ddddmwddddxddndc, ddddddddddd
MATCH: /p{3,6}/ ppcpspfp, ppppp
MATCH: /j{12,15}/ jjjjjjgjjjjcjlzj, jjjjjjjjjjjj
no match: /v{8,12}/ tgjkwfbsxzzvvpmfs, vv
no match: /z{6,7}/ trbfbdz, z
no match: /v{4,6}/ vvvvvpvv, vvvvvvv
MATCH: /p{8,16}/ pnvppdpjppppppph, ppppppppppp
no match: /z{8,9}/ lzzzzpdzk, zzzzz
MATCH: /t{1,4}/ qttzz, tt
MATCH: /d{2,3}/ dhdd, ddd
MATCH: /m{5,8}/ mmmkmmxmkj, mmmmmm
MATCH: /f{2,12}/ hfhzkwdmrlqvfkn, ff
MATCH: /h{5,6}/ hhhhhph, hhhhhh
no match: /b{14,15}/ bbbbxbbbbbbbbbh, bbbbbbbbbbbbb
MATCH: /v{2,3}/ vvcj, vv
no match: /d{12,19}/ ddvdwwqdddcdtdmwdqp, ddddddddd
no match: /s{3,4}/ ssjssssssss, ssssssssss
MATCH: /c{2,6}/ wzzxqcdcnlgcph, ccc
no match: /j{11,12}/ jjdrcjzjkjcs, jjjjj
MATCH: /z{4,9}/ bzzzzzzxzz, zzzzzzzz
MATCH: /b{2,8}/ gjbfkxhb, bb
MATCH: /c{1,3}/ cpksst, c
MATCH: /h{1,5}/ hhjhh, hhhh
MATCH: /j{14,15}/ jjjjjjjjjjjjjjr, jjjjjjjjjjjjjj
no match: /n{8,9}/ pcndxcfknfbnnls, nnnn
no match: /k{10,13}/ kkkqzkwbkkkrtn, kkkkkkk
MATCH: /r{4,5}/ rzrrrnrj, rrrrr
MATCH: /p{13,15}/ ppppppppppppppt, pppppppppppppp
no match: /j{3,6}/ fjqqzzzjm, jj
MATCH: /m{2,9}/ zmjhctkmf, mm
no match: /s{5,6}/ ssmjss, ssss
no match: /c{3,4}/ jlfd, 
MATCH: /d{8,12}/ qbddfhnddzgvddddd, ddddddddd
no match: /p{6,7}/ xfppppcppppxgp, ppppppppp
no match: /s{8,13}/ sssssssfssssssss, sssssssssssssss
no match: /g{13,17}/ xskktsjxlvgfxtzzgfj, gg
MATCH: /q{2,4}/ qqtwfqqnkvbvbhzs, qqqq
MATCH: /j{1,5}/ cjmjs, jj
no match: /c{4,5}/ tvccnc, ccc
MATCH: /m{3,14}/ kkfhmnkkmztxtmn, mmm
MATCH: /x{11,15}/ xxxxxpxmxxvbxxxvx, xxxxxxxxxxxx
no match: /l{9,11}/ nhgzwmmrkqhblnk, l
no match: /x{7,10}/ xxxxxdmxxxxxxxx, xxxxxxxxxxxxx
MATCH: /v{13,14}/ vvvvvvpvvvjvvcvv, vvvvvvvvvvvvv
no match: /n{16,17}/ nnnnqnnbnnnnnnnpn, nnnnnnnnnnnnnn
MATCH: /j{3,4}/ jvjj, jjj
no match: /q{15,16}/ zlqsgvpztknqjqqwqvf, qqqqq
no match: /s{3,4}/ sssrsssdss, ssssssss
no match: /g{11,13}/ ggqggmggswggdk, gggggggg
no match: /t{1,4}/ jmtzttztqt, ttttt
no match: /v{2,3}/ vvvv, vvvv
no match: /g{11,13}/ cgjgxgggkgbggxg, ggggggggg
MATCH: /g{4,6}/ ggggqlhgmz, ggggg
no match: /g{8,15}/ prvxwzkvdhgkjlg, gg
MATCH: /g{6,9}/ gggggnsjlg, gggggg
no match: /p{12,14}/ mmvlpzkmpgtpvj, ppp
no match: /k{7,10}/ kkkxkkjkkkdkkkp, kkkkkkkkkkk
no match: /b{14,16}/ zmztqsrgvjjmswzkbnk, b
no match: /x{1,2}/ xxbxxxxhx, xxxxxxx
no match: /l{2,5}/ tlhsx, l
MATCH: /x{3,5}/ xxxxn, xxxx
no match: /c{4,12}/ vdnmtmqwnxkcldc, cc
MATCH: /x{4,8}/ xxxxjglx, xxxxx
MATCH: /s{5,13}/ vsssspszssssnsss, ssssssssssss
MATCH: /k{3,6}/ kkhkkkknb, kkkkkk
MATCH: /t{3,5}/ pttqtwnprt, tttt
no match: /m{10,14}/ ttjqvzmgmmjqzkd, mmm
no match: /b{1,5}/ bbbbpbbb, bbbbbbb
no match: /d{10,15}/ wdjrhvfngdtlkdl, ddd
no match: /w{6,7}/ trxwdwww, wwww
MATCH: /n{2,4}/ snxqlgtsmdnnjgwrgmms, nnn
no match: /l{16,18}/ klslpljllqlcslqqll, lllllllll
MATCH: /t{4,7}/ tttwzttjt, tttttt
MATCH: /f{9,10}/ ffffffffwf, fffffffff
no match: /h{8,15}/ trhgxjchhxvvhqp, hhhh
MATCH: /w{8,12}/ wwwwwwwqwwwg, wwwwwwwwww
no match: /x{12,13}/ xxxxxxxxsffqlxx, xxxxxxxxxx
no match: /k{5,7}/ kkkklkkkktkk, kkkkkkkkkk
MATCH: /m{1,7}/ wkmmqmmhf, mmmm
no match: /h{12,13}/ mhhchwhhhzhhcvh, hhhhhhhhh
MATCH: /k{7,11}/ kkkkkkwkkkgkk, kkkkkkkkkkk
no match: /l{4,6}/ hdlbll, lll
MATCH: /v{8,12}/ fvvvvvvvrvvv, vvvvvvvvvv
no match: /h{2,9}/ hzhhhhhhhhhhhhr, hhhhhhhhhhhhh
no match: /b{6,8}/ qbqjpbbbdsshv, bbbb
MATCH: /h{2,3}/ hwhl, hh
no match: /l{4,7}/ mdllxjgdw, ll
MATCH: /f{3,9}/ rwffzfkpwbzp, fff
MATCH: /t{3,5}/ ttnttt, ttttt
no match: /c{7,10}/ mpcccpndqc, cccc
no match: /h{6,7}/ fhhhljh, hhhh
no match: /v{2,7}/ pnvzcns, v
MATCH: /v{1,3}/ vvgv, vvv
no match: /s{5,9}/ ssssshsspsssssss, ssssssssssssss
MATCH: /j{4,6}/ mjjjjq, jjjj
no match: /h{5,14}/ hwbqghmvmmnvhhrqmj, hhhh
no match: /s{5,6}/ wctjsh, s
no match: /s{7,8}/ sssscsjs, ssssss
MATCH: /v{14,17}/ vvvvvvvvvvvvvvvvv, vvvvvvvvvvvvvvvvv
no match: /w{14,15}/ wxwwwwwwfwwwwsw, wwwwwwwwwwww
no match: /v{6,7}/ ksvvvlpvv, vvvvv
MATCH: /s{7,18}/ cssstsvsscshsstsss, ssssssssssss
no match: /b{5,6}/ zzwbpm, b
no match: /r{6,7}/ bvtmpkxspskr, r
no match: /v{6,7}/ lvxrvqv, vvv
no match: /c{15,17}/ ccccccccccccccccccc, ccccccccccccccccccc
no match: /r{8,12}/ ghxpwhxcqjrr, rr
no match: /k{6,10}/ kzbcdkndqm, kk
no match: /s{5,6}/ tpsxss, sss
MATCH: /p{1,5}/ qlrlp, p
MATCH: /q{4,8}/ qqqkqqqz, qqqqqq
no match: /v{7,11}/ vgvsxvwvlxv, vvvvv
MATCH: /b{2,5}/ bgkbb, bbb
MATCH: /j{3,18}/ jjsplxjxgqjfjrjxjjlx, jjjjjjjj
MATCH: /k{6,10}/ kxkhkkjkkrvkkk, kkkkkkkkk
no match: /t{7,16}/ ttttttzttttttttbtttt, tttttttttttttttttt
MATCH: /l{1,7}/ ptzptslrjgwlfgwq, ll
MATCH: /v{8,10}/ vvqvvvvvvvv, vvvvvvvvvv
MATCH: /z{3,5}/ zzzhz, zzzz
no match: /c{6,7}/ cbrctgc, ccc
no match: /l{5,16}/ llllxlllllllllllll, lllllllllllllllll
no match: /c{6,7}/ chxclqcdrh, ccc
no match: /c{1,10}/ jcmcccccwcccccjbvc, cccccccccccc
MATCH: /h{8,14}/ zhhvhhhhhhhhhv, hhhhhhhhhhh
no match: /n{4,7}/ rnnnnnfnnnnnvn, nnnnnnnnnnn
MATCH: /w{10,12}/ wwwwwwwsgtwww, wwwwwwwwww
no match: /c{5,8}/ cmbcctzcj, cccc
no match: /f{5,7}/ fffskrf, ffff
no match: /l{5,6}/ lllmzl, llll
no match: /m{7,14}/ mmmmmmmmmmmmmmmmmmm, mmmmmmmmmmmmmmmmmmm
no match: /f{1,9}/ jfffffffzvffff, fffffffffff
MATCH: /g{2,5}/ ggmng, ggg
MATCH: /x{16,17}/ xxxxxxxxxxxxxxxlx, xxxxxxxxxxxxxxxx
MATCH: /n{4,10}/ npkgjcfnnnnn, nnnnnn
MATCH: /d{1,13}/ bhkjgsnzxkdgwbdv, dd
no match: /f{6,7}/ ncqfzff, fff
MATCH: /h{7,10}/ hqhhhhhjhhh, hhhhhhhhh
MATCH: /v{2,4}/ vnvvv, vvvv
MATCH: /w{1,6}/ thlmdwgwgtswvtx, www
MATCH: /d{3,7}/ ddlkhvfdnpbdr, dddd
MATCH: /q{1,4}/ qbfq, qq
MATCH: /f{2,6}/ rzfmfrjgcfjk, fff
MATCH: /b{10,16}/ bbbbblbbbkbbbbbbwqb, bbbbbbbbbbbbbbb
no match: /j{13,14}/ jjhcjnkgvrnwjp, jjjj
MATCH: /l{5,12}/ lgqwvrlwcllllv, llllll
MATCH: /j{4,8}/ jjgpdjssspjfdbt, jjjj
no match: /h{1,9}/ hhhhhhhhwhhh, hhhhhhhhhhh
no match: /p{4,6}/ psmppt, ppp
MATCH: /h{2,3}/ zhhhk, hhh
no match: /b{2,6}/ bbbbbmbbvb, bbbbbbbb
MATCH: /z{7,9}/ zzzzzzgzdzz, zzzzzzzzz
no match: /d{8,9}/ ddgdmdwddd, ddddddd
MATCH: /s{2,6}/ nssssv, ssss
MATCH: /x{18,20}/ xxxxxxxxxxxxxxxxxvxx, xxxxxxxxxxxxxxxxxxx
no match: /m{9,10}/ dzckmrbhcmwvkcxmlx, mmm
no match: /v{10,11}/ vwvvvvwvvghvn, vvvvvvvv
no match: /d{3,6}/ wcwxddjhnljfntj, dd
MATCH: /v{13,15}/ vvvvvvvvvvvvcvc, vvvvvvvvvvvvv
no match: /x{1,5}/ xxfxfxxkx, xxxxxx
no match: /w{7,8}/ wqzjzwwwtw, wwwww
no match: /f{2,4}/ flgl, f
MATCH: /n{3,6}/ ncfngngdnm, nnnn
MATCH: /k{5,7}/ kdkmbkkkkxk, kkkkkkk
no match: /x{5,6}/ xxvxth, xxx
no match: /r{5,6}/ rrhhzr, rrr
no match: /b{4,6}/ bbbrbbbbbmb, bbbbbbbbb
no match: /q{12,13}/ qqqqqqqqqzqkqp, qqqqqqqqqqq
no match: /n{6,14}/ mlbflnrbhlhpdrfln, nn
MATCH: /q{9,12}/ qqqqqqqqqqqwq, qqqqqqqqqqqq
no match: /k{3,4}/ rkncnbk, kk
MATCH: /j{1,3}/ jjpj, jjj
no match: /v{8,9}/ vjvczrvvm, vvvv
MATCH: /m{9,16}/ tmnmmmxmbmmmrtmmr, mmmmmmmmmm
no match: /q{9,11}/ qqqqqzqqsjxq, qqqqqqqq
MATCH: /h{3,5}/ hhhhcs, hhhh
